Series Name,Series Code,Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Latvia,LVA,..,..,..,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.5
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Lebanon,LBN,..,..,..,0.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,1.9,1.9,1.9,7.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Lesotho,LSO,..,..,..,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,21.3,23.4
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Liberia,LBR,..,..,..,2.5,2.5,2.5,2.5,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Libya,LBY,..,..,..,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Liechtenstein,LIE,..,..,..,42.2,42.2,42.2,42.2,11.9,11.9,42.2,42.6,42.6,42.6,42.6,44.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Lithuania,LTU,..,..,..,16.9,16.9,16.9,16.9,17,17,17,17,17.1,17.1,17.1,17.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Luxembourg,LUX,..,..,..,37.3,34.9,32.5,42,40.9,40.9,51.2,51.2,51.3,55.8,55.8,38.7
"Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,""Macao SAR, China"",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.."
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Madagascar,MDG,..,..,..,5,5,5,5.2,5.6,5.6,5.6,7.5,7.5,7.5,7.5,12.7
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Malawi,MWI,..,..,..,16.9,16.9,16.9,16.9,17.4,22.9,22.9,22.9,22.9,22.9,22.9,23.1
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Malaysia,MYS,..,..,..,19.1,19.1,19.1,19.1,19.1,19.1,19.1,13.3,13.3,13.3,13.3,13.3
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Maldives,MDV,..,..,..,..,0.7,1.1,1.1,1.2,1.2,1.2,2.3,2.3,2.3,2.3,3
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Mali,MLI,..,..,..,9.1,8.3,8.3,8.2,8.2,8.2,8.2,7.5,7.5,7.5,7.5,7.5
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Malta,MLT,..,..,..,23,23.2,23.2,24.1,30.3,30.3,30.2,30.6,30.6,30.6,30.6,28.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Marshall Islands,MHL,..,..,..,3.3,15.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,16.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Mauritania,MRT,..,..,..,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Mauritius,MUS,..,..,..,4.5,4.5,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,5
